A,0,0,181.0
A,0,1,87.0
A,0,2,88.0
A,0,3,146.0
A,0,4,199.0
A,0,5,39.0
A,0,6,79.0
A,0,7,31.0
A,0,9,36.0
A,1,0,41.0
A,1,1,47.0
A,1,2,5.0
A,1,3,1.0
A,1,4,29.0
A,1,5,72.0
A,1,6,111.0
A,1,7,125.0
A,1,8,129.0
A,1,9,123.0
A,2,0,69.0
A,2,1,174.0
A,2,2,95.0
A,2,3,52.0
A,2,4,175.0
A,2,5,34.0
A,2,6,170.0
A,2,7,78.0
A,2,8,46.0
A,2,9,162.0
A,3,0,23.0
A,3,1,116.0
A,3,2,182.0
A,3,3,62.0
A,3,4,14.0
A,3,5,188.0
A,3,6,197.0
A,3,7,145.0
A,3,8,8.0
A,3,9,54.0
A,4,0,10.0
A,4,1,104.0
A,4,2,83.0
A,4,3,42.0
A,4,4,70.0
A,4,5,186.0
A,4,6,51.0
A,4,7,63.0
A,4,8,109.0
A,4,9,2.0
A,5,0,114.0
A,5,1,108.0
A,5,2,40.0
A,5,3,20.0
A,5,4,142.0
A,5,5,176.0
A,5,6,33.0
A,5,7,185.0
A,5,8,117.0
A,5,9,26.0
A,6,0,18.0
A,6,1,156.0
A,6,2,168.0
A,6,3,37.0
A,6,4,80.0
A,6,5,132.0
A,6,6,183.0
A,6,7,58.0
A,6,8,77.0
A,6,9,166.0
A,7,0,173.0
A,7,1,30.0
A,7,2,120.0
A,7,3,65.0
A,7,4,45.0
A,7,5,56.0
A,7,6,85.0
A,7,7,163.0
A,7,8,112.0
A,7,9,169.0
A,8,0,94.0
A,8,1,178.0
A,8,2,198.0
A,8,3,61.0
A,8,4,13.0
A,8,5,157.0
A,8,6,32.0
A,8,7,64.0
A,8,8,25.0
A,8,9,137.0
A,9,0,118.0
A,9,1,92.0
A,9,2,91.0
A,9,3,158.0
A,9,4,27.0
A,9,5,15.0
A,9,6,106.0
A,9,7,21.0
A,9,8,149.0
A,9,9,184.0
B,0,0,193.0
B,0,1,66.0
B,0,2,122.0
B,0,3,76.0
B,0,4,186.0
B,1,0,52.0
B,1,1,4.0
B,1,2,141.0
B,1,3,180.0
B,1,4,154.0
B,2,0,126.0
B,2,1,133.0
B,2,2,84.0
B,2,3,175.0
B,2,4,50.0
B,3,0,107.0
B,3,1,161.0
B,3,2,192.0
B,3,3,143.0
B,3,4,24.0
B,4,0,124.0
B,4,1,114.0
B,4,2,68.0
B,4,3,146.0
B,4,4,81.0
B,5,0,65.0
B,5,1,200.0
B,5,2,140.0
B,5,3,6.0
B,5,4,139.0
B,6,0,137.0
B,6,1,23.0
B,6,2,157.0
B,6,3,149.0
B,6,4,47.0
B,7,0,136.0
B,7,1,89.0
B,7,2,78.0
B,7,3,194.0
B,7,4,27.0
B,8,0,123.0
B,8,1,71.0
B,8,2,177.0
B,8,3,51.0
B,8,4,189.0
B,9,0,7.0
B,9,1,32.0
B,9,2,148.0
B,9,3,59.0
B,9,4,155.0
